LTR,CANVAS ID,DEPT,COURSE,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
HT,111757,EOSC,EOSC 118 99A 2022WA,EOSC 118 99A 2022WA Earth's Treasures: Gold and Gems,"EVAND, ROBERT JAMES",288,In-Person,Active,NO MT,,,,,12/21/2022,12:00,In-Person,In-Person,
HT,102537,EOSC,EOSC 212 101 2022W1,EOSC 212 101 2022W1 Topics in the Earth and Planetary Sciences.,"JELLINEK, ANDREW",54,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102541,EOSC,EOSC 323 101 2022W1,EOSC 323 101 2022W1 Structural Geology I,"KENNEDY, LORI",44,In-Person,Active,10/19/2022,2:00 PM,NONE,In-Person,,12/16/2022,08:30,In-Person,In-Person,
,,,,,"PORRITT, LUCY",,,,,,,,,,,,,
HT,t,EOSC,EOSC 330 101 2022W1,EOSC 330 101 2022W1 Principles of Geomorphology,"GILLEY, BRETT",N/A,In-Person,Active,10/12/2022,10:00 AM,NONE,In-Person,,12/21/2022,12:00,In-Person,In-Person,
,,,,,"MCDOUGALL, SCOTT",,,,11/16/2022,,,,,,,,,
,,,,,"YEUNG, JASON",,,,,,,,,,,,,
HT,102546,EOSC,EOSC 331 101 2022W1,EOSC 331 101 2022W1 Introduction to Mineral Deposits,"BARKER, SHAUN",25,In-Person,Active,10/20/2022,10:00,NONE,In-Person,,12/18/2022,12:00,In-Person,In-Person,
,,,,,"MOERHUIS, NICHOLE",,,,,,,,,,,,,
,,,,,"QUINN, TAYLOR",,,,,,,,,,,,,
HT,102547,EOSC,EOSC 340 101 2022W1,EOSC 340 101 2022W1 Global Climate Change,"WHITE, RACHEL",116,In-Person,Active,TWO MT,,,,,12/17/2022,15:30,In-Person,In-Person,
,,,,,,,,,DATE TBA,,,,,,,,,
HT,102556,EOSC,EOSC 425 101 2022W1,EOSC 425 101 2022W1 Paleontology,"LONGRIDGE, LOUISE",10,In-Person,Active,NO MT,,,,,12/13/2022,12:00,In-Person,In-Person,
,,,,,"CHASE, JASMINE",,,,,,,,,,,,,
,,,,,"SHEPPARD, TEAGAN PERI",,,,,,,,,,,,,
HT,102558,EOSC,EOSC 433/536 101 2022W1,EOSC 433/536 101 2022W1 Geological Engineering Practice I - Rock Engineering,"EBERHARDT, ERIK",27,In-Person,Active,10/20/2022,13:00,NONE,In-Person,,12/21/2022,08:30,In-Person,In-Person,
HT,102560,EOSC,EOSC 450 101 2022W1,EOSC 450 101 2022W1 Interior Structure of Earth and Planets,N/A,N/A,In-Person,Active,,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102563,EOSC,EOSC 471 101 2022W1,"EOSC 471 101 2022W1 Waves, Currents and Ocean Mixing","ALLEN, SUSAN ELIZABETH",20,In-Person,Active,ONE MT,12:50,NONE,In-Person,,12/15/2022,15:30,,,
,,,,,"PAWLOWICZ, RICHARD",,,,DATE TBA,,,,,,,,,
HT,102566,EOSC,EOSC 498 101 2022W1,EOSC 498 101 2022W1 Co-operative Work Placement III,TBA,3,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102567,EOSC,EOSC 499 101 2022W1,EOSC 499 101 2022W1 Co-operative Work Placement IV,TBA,1,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102571,EOSC,EOSC 533 101 2022W1,EOSC 533 101 2022W1 Advanced Groundwater Hydrology,"BECKIE, ROGER",22,In-Person,Active,NO MT,,,,,12/14/2022,08:30,In-Person,In-Person,
